step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,t_average_density,agents_total_stopped,agents_total_accumulated_waiting_time,agents_average_density
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0
18.0,8,27.0,2.25,3.2722195933714473,8,27.0,0.001894466445350259,0.05943994364212751,8,27.0,0.05943994364212751
36.0,12,140.0,7.0,3.4988871169749354,12,140.0,0.14425151597382502,0.1122754491017964,12,140.0,0.1122754491017964
52.0,13,224.0,8.296296296296296,6.316678325165191,13,224.0,0.2887407651793147,0.13208876364917227,13,224.0,0.13208876364917227
68.0,15,222.0,7.655172413793103,6.156618283158189,15,222.0,0.2662332524695492,0.1386932018316309,15,222.0,0.1386932018316309
86.0,15,259.0,8.35483870967742,6.250694148499238,15,259.0,0.3379953140189819,0.15190207819654808,15,259.0,0.15190207819654808
104.0,14,293.0,9.451612903225806,6.950084614590041,14,293.0,0.3672881944603223,0.1585065163790067,14,293.0,0.1585065163790067
120.0,15,278.0,10.296296296296296,4.549984027019219,15,278.0,0.06177237205414177,0.12548432546671365,15,278.0,0.12548432546671365
136.0,15,250.0,8.333333333333334,5.230826171472829,15,250.0,0.16671430775361995,0.1386932018316309,15,250.0,0.1386932018316309
154.0,15,285.0,9.5,5.073216857913482,15,285.0,0.1915148390656386,0.14529764001408949,15,285.0,0.14529764001408949
172.0,13,255.0,7.96875,6.139820946980533,13,255.0,0.23708047499593118,0.1519020781965481,13,255.0,0.1519020781965481
188.0,18,292.0,9.419354838709678,5.273154116407189,18,292.0,0.14781170397154908,0.14529764001408949,18,292.0,0.14529764001408949
204.0,18,312.0,9.454545454545455,5.52605026879786,18,316.0,0.20429112265000923,0.16511095456146532,18,316.0,0.16511095456146532
222.0,17,372.0,10.628571428571428,6.261499168605708,17,372.0,0.30928974441572027,0.17171539274392392,17,372.0,0.17171539274392392
240.0,15,274.0,9.785714285714286,5.714879789082938,15,287.0,0.19957968191343806,0.13208876364917224,15,287.0,0.13208876364917224
256.0,15,240.0,7.741935483870968,5.260458293732244,15,241.0,0.15881519943675693,0.14529764001408946,15,241.0,0.14529764001408946
272.0,16,268.0,8.933333333333334,5.129927921468569,16,269.0,0.2110717455360225,0.15190207819654808,16,269.0,0.15190207819654808
290.0,17,361.0,11.64516129032258,5.588287785311646,17,362.0,0.24725917627490454,0.15850651637900667,17,362.0,0.15850651637900667
308.0,12,271.0,8.741935483870968,7.004018019965099,12,281.0,0.34771863980738055,0.14529764001408946,12,281.0,0.14529764001408946
324.0,15,259.0,7.848484848484849,6.063158049066654,15,263.0,0.28316666564492715,0.16511095456146535,15,263.0,0.16511095456146535
340.0,17,247.0,8.233333333333333,5.556573043738258,17,247.0,0.18701717576201696,0.13869320183163086,17,247.0,0.13869320183163086
358.0,17,312.0,11.142857142857142,4.283461262105589,17,312.0,0.052860061678448395,0.12548432546671365,17,312.0,0.12548432546671365
376.0,15,234.0,8.357142857142858,4.9162382850293,15,234.0,0.08046609027242546,0.12548432546671362,15,234.0,0.12548432546671362
392.0,12,238.0,7.67741935483871,5.8797358454799475,12,238.0,0.23512507849313052,0.1519020781965481,12,238.0,0.1519020781965481
408.0,15,262.0,8.1875,6.153558833779402,15,262.0,0.2495166579694312,0.1519020781965481,15,262.0,0.1519020781965481
426.0,16,339.0,10.59375,6.107864233857036,16,339.0,0.27153825644093826,0.15850651637900667,16,339.0,0.15850651637900667
444.0,12,277.0,8.935483870967742,6.666766600400344,12,286.0,0.32766495167161674,0.15190207819654808,12,286.0,0.15190207819654808
460.0,15,240.0,8.275862068965518,4.662045665988078,15,240.0,0.132196075387553,0.13869320183163086,15,240.0,0.13869320183163086
476.0,16,258.0,9.214285714285714,4.5404489047651415,16,258.0,0.0739063711043661,0.13208876364917227,16,258.0,0.13208876364917227
494.0,15,307.0,10.233333333333333,5.0794621927739305,15,307.0,0.15362374475649737,0.13869320183163086,15,307.0,0.13869320183163086
