step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,t_average_density,agents_total_stopped,agents_total_accumulated_waiting_time,agents_average_density
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0
18.0,9,30.0,2.5,3.288344859811826,9,30.0,0.0018377171655714123,0.05943994364212751,9,30.0,0.05943994364212751
36.0,14,152.0,7.238095238095238,4.045192044935431,14,152.0,0.13365339675949872,0.11227544910179642,14,152.0,0.11227544910179642
52.0,13,246.0,9.11111111111111,6.239460417101189,13,246.0,0.34288276983698385,0.13869320183163086,13,246.0,0.13869320183163086
70.0,13,231.0,7.7,7.1955055609431575,13,231.0,0.3120791802826924,0.13869320183163086,13,231.0,0.13869320183163086
86.0,11,197.0,6.354838709677419,7.254440962624339,11,197.0,0.33531538493313356,0.14529764001408949,11,197.0,0.14529764001408949
104.0,17,288.0,9.290322580645162,5.592713366368101,17,288.0,0.2859176526250532,0.1651109545614653,17,288.0,0.1651109545614653
120.0,18,297.0,10.241379310344827,3.9620340652410833,18,297.0,0.03034005659396443,0.13208876364917224,18,297.0,0.13208876364917224
138.0,21,470.0,16.20689655172414,3.4403225627543996,21,471.0,0.06164685278549211,0.15190207819654808,21,471.0,0.15190207819654808
156.0,15,309.0,9.363636363636363,6.116913957689485,15,311.0,0.2689964159397021,0.1585065163790067,15,311.0,0.1585065163790067
172.0,16,295.0,8.676470588235293,5.82070559046774,16,297.0,0.22628663239854332,0.16511095456146532,16,297.0,0.16511095456146532
188.0,19,290.0,9.0625,5.507737430011561,19,298.0,0.18360032787814548,0.1585065163790067,19,298.0,0.1585065163790067
206.0,18,402.0,11.823529411764707,5.587636225393806,18,403.0,0.20203233274370977,0.1651109545614653,18,403.0,0.1651109545614653
224.0,15,333.0,9.0,7.056189002347533,15,346.0,0.35686404498189916,0.17831983092638254,15,346.0,0.17831983092638254
240.0,16,278.0,9.266666666666667,5.371758039604027,16,283.0,0.14954383605467908,0.13869320183163086,16,283.0,0.13869320183163086
256.0,19,275.0,8.870967741935484,4.924618374693508,19,277.0,0.14392921770608946,0.1519020781965481,19,277.0,0.1519020781965481
274.0,20,373.0,12.03225806451613,4.387801130187009,20,375.0,0.0961531700388399,0.15190207819654808,20,375.0,0.15190207819654808
292.0,15,341.0,11.0,5.095196884820482,15,357.0,0.20598491825022103,0.1585065163790067,15,357.0,0.1585065163790067
308.0,16,310.0,10.0,5.540054011400718,16,319.0,0.24013641000126507,0.1585065163790067,16,319.0,0.1585065163790067
324.0,18,288.0,8.0,6.224628082366305,18,303.0,0.27105596782829117,0.1783198309263825,18,303.0,0.1783198309263825
342.0,19,396.0,11.0,5.926149889695997,19,407.0,0.28939322757491875,0.18492426910884113,19,407.0,0.18492426910884113
360.0,18,374.0,12.89655172413793,4.572108103733481,18,384.0,0.0802838576733981,0.13208876364917224,18,384.0,0.13208876364917224
376.0,19,315.0,10.161290322580646,4.475854357040235,19,317.0,0.05793927018956198,0.14529764001408949,19,317.0,0.14529764001408949
392.0,16,299.0,8.794117647058824,5.565460903963773,16,311.0,0.2266013153639666,0.17171539274392392,16,311.0,0.17171539274392392
410.0,18,405.0,12.272727272727273,5.216600730071915,18,405.0,0.23426915645192345,0.17171539274392392,18,405.0,0.17171539274392392
428.0,16,371.0,11.242424242424242,5.590786628760361,16,382.0,0.2510913973288674,0.17171539274392392,16,382.0,0.17171539274392392
444.0,19,351.0,10.028571428571428,5.446077634837405,19,360.0,0.22364847542855368,0.17831983092638257,19,360.0,0.17831983092638257
460.0,19,325.0,9.848484848484848,4.476649502208446,19,334.0,0.12847008009382208,0.1651109545614653,19,334.0,0.1651109545614653
478.0,21,423.0,13.21875,4.011750689870001,21,430.0,0.037203677751779705,0.15190207819654808,21,430.0,0.15190207819654808
496.0,18,375.0,12.096774193548388,4.7325452126321865,18,382.0,0.14096190613825765,0.15190207819654808,18,382.0,0.15190207819654808
512.0,16,293.0,8.617647058823529,5.54076611859977,16,296.0,0.21582155789727636,0.16511095456146532,16,296.0,0.16511095456146532
528.0,17,278.0,8.424242424242424,5.344457899159534,17,285.0,0.16796109066519907,0.1585065163790067,17,285.0,0.1585065163790067
