step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,t_average_density,agents_total_stopped,agents_total_accumulated_waiting_time,agents_average_density
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0
16.0,4,8.0,0.6666666666666666,3.5864606090804085,4,8.0,0.011557893460390926,0.05943994364212751,4,8.0,0.05943994364212751
33.0,8,103.0,5.15,5.299275802735464,8,103.0,0.2699534647568412,0.1056710109193378,8,103.0,0.1056710109193378
49.0,10,194.0,6.928571428571429,6.847816845951987,10,194.0,0.3876729859704771,0.14529764001408949,10,194.0,0.14529764001408949
65.0,14,219.0,6.84375,5.915188608533594,14,219.0,0.2511519981306021,0.1519020781965481,14,219.0,0.1519020781965481
84.0,16,310.0,10.333333333333334,5.559100489935089,16,310.0,0.21862235062464166,0.14529764001408946,16,310.0,0.14529764001408946
103.0,15,335.0,10.46875,6.425568362545043,15,335.0,0.23845979094905898,0.14529764001408949,15,335.0,0.14529764001408949
119.0,14,259.0,9.592592592592593,4.728322859847827,14,261.0,0.08722711877748658,0.12548432546671365,14,261.0,0.12548432546671365
135.0,13,219.0,7.551724137931035,5.327821158603737,13,220.0,0.16827808042582473,0.1386932018316309,13,220.0,0.1386932018316309
154.0,15,263.0,9.068965517241379,5.390496185938116,15,264.0,0.170907871502989,0.13869320183163084,15,264.0,0.13869320183163084
170.0,13,277.0,8.935483870967742,6.1636675448791625,13,278.0,0.24036290409108615,0.14529764001408949,13,278.0,0.14529764001408949
186.0,14,238.0,7.933333333333334,5.485440453544862,14,244.0,0.2015260973602561,0.14529764001408949,14,244.0,0.14529764001408949
202.0,14,246.0,7.454545454545454,6.6683542485910685,14,246.0,0.31996656644493876,0.16511095456146532,14,246.0,0.16511095456146532
221.0,16,308.0,10.266666666666667,5.885465495913301,16,308.0,0.2643107643022137,0.14529764001408946,16,308.0,0.14529764001408946
240.0,15,290.0,10.74074074074074,5.314358258729653,15,290.0,0.14403951719913943,0.12548432546671362,15,290.0,0.12548432546671362
256.0,16,262.0,8.733333333333333,4.9603647260347055,16,262.0,0.11212290501529919,0.13869320183163086,16,262.0,0.13869320183163086
272.0,16,293.0,9.451612903225806,5.083179424646526,16,293.0,0.193142583538172,0.1585065163790067,16,293.0,0.1585065163790067
291.0,17,373.0,11.303030303030303,5.4269653535826885,17,373.0,0.17311256930641852,0.15190207819654808,17,373.0,0.15190207819654808
310.0,16,361.0,11.64516129032258,5.213331499517242,16,361.0,0.18374899221954094,0.15190207819654808,16,361.0,0.15190207819654808
326.0,14,278.0,8.6875,7.04564890179021,14,285.0,0.30195899344733695,0.14529764001408949,14,285.0,0.14529764001408949
342.0,15,232.0,6.823529411764706,6.844910353915637,15,240.0,0.3240020415320195,0.1651109545614653,15,240.0,0.1651109545614653
361.0,17,301.0,10.033333333333333,5.604671514543498,17,308.0,0.26086998892361335,0.15190207819654808,17,308.0,0.15190207819654808
380.0,18,359.0,12.379310344827585,4.883180007877035,18,366.0,0.14957719180747583,0.14529764001408949,18,366.0,0.14529764001408949
396.0,14,272.0,8.5,5.796014191154782,14,272.0,0.23662413920817302,0.15190207819654808,14,272.0,0.15190207819654808
412.0,15,257.0,8.03125,6.569559829266288,15,257.0,0.2984317957237331,0.1519020781965481,15,257.0,0.1519020781965481
431.0,16,311.0,9.147058823529411,5.845547941627631,16,311.0,0.2855994459686582,0.16511095456146532,16,311.0,0.16511095456146532
446.0,15,294.0,8.909090909090908,6.462476795893823,15,294.0,0.274346045416409,0.1585065163790067,15,294.0,0.1585065163790067
462.0,17,272.0,8.0,5.872140365805573,17,273.0,0.26390296883842257,0.16511095456146535,17,273.0,0.16511095456146535
478.0,20,311.0,10.03225806451613,4.077184066100454,20,312.0,0.0399057990366687,0.14529764001408949,20,312.0,0.14529764001408949
497.0,19,402.0,13.862068965517242,3.7340056143295146,19,403.0,0.08713051301018869,0.14529764001408946,19,403.0,0.14529764001408946
513.0,12,299.0,8.794117647058824,5.855666522358462,12,330.0,0.24090354798035693,0.1651109545614653,12,330.0,0.1651109545614653
529.0,15,244.0,7.393939393939394,6.010631293359911,15,258.0,0.2368355343063472,0.1585065163790067,15,258.0,0.1585065163790067
545.0,20,454.0,13.757575757575758,4.775646614941865,20,454.0,0.1766925812969191,0.17171539274392394,20,454.0,0.17171539274392394
561.0,15,395.0,11.285714285714286,6.252911415739562,15,396.0,0.2817712469373525,0.1651109545614653,15,396.0,0.1651109545614653
578.0,15,271.0,7.970588235294118,6.227651211072513,15,280.0,0.24985398425375352,0.1585065163790067,15,280.0,0.1585065163790067
597.0,18,319.0,10.290322580645162,4.282343037163601,18,328.0,0.08958870445558055,0.1519020781965481,18,328.0,0.1519020781965481
613.0,15,393.0,12.28125,4.599093799234904,15,402.0,0.09775636151407144,0.1519020781965481,15,402.0,0.1519020781965481
629.0,15,358.0,10.228571428571428,5.691400166098693,15,374.0,0.2740258131985683,0.17171539274392392,15,374.0,0.17171539274392392
645.0,13,214.0,6.294117647058823,7.318156900172908,13,235.0,0.3639768758561657,0.16511095456146532,13,235.0,0.16511095456146532
662.0,16,309.0,8.82857142857143,5.66707801262392,16,330.0,0.2506527102671924,0.17831983092638254,16,330.0,0.17831983092638254
678.0,17,342.0,10.6875,5.793121449971074,17,368.0,0.22940273686368692,0.1585065163790067,17,368.0,0.1585065163790067
694.0,17,356.0,10.787878787878787,5.094158323310375,17,377.0,0.19776200774215127,0.15850651637900673,17,377.0,0.15850651637900673
713.0,17,291.0,9.09375,4.566181047054593,17,305.0,0.1826745995796958,0.16511095456146532,17,305.0,0.16511095456146532
732.0,19,468.0,14.625,3.5030036174492656,19,475.0,0.11620601861308959,0.17831983092638254,19,475.0,0.17831983092638254
748.0,14,385.0,10.694444444444445,6.6834686720372325,14,411.0,0.36365431297900613,0.18492426910884116,14,411.0,0.18492426910884116
764.0,16,322.0,8.944444444444445,6.441430221276458,16,351.0,0.3173960707892561,0.18492426910884113,16,351.0,0.18492426910884113
