step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,t_average_density,agents_total_stopped,agents_total_accumulated_waiting_time,agents_average_density
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0
16.0,7,17.0,1.4166666666666667,3.2992641239566454,7,17.0,0.013974372148359912,0.05943994364212751,7,17.0,0.05943994364212751
35.0,11,141.0,7.833333333333333,3.5689188437759833,11,141.0,0.13107052217140835,0.09906657273687919,11,141.0,0.09906657273687919
51.0,12,215.0,7.962962962962963,6.288166229483197,12,215.0,0.31029481837950973,0.13869320183163086,12,215.0,0.13869320183163086
67.0,15,220.0,7.333333333333333,5.823236703312239,15,220.0,0.24719503604338167,0.14529764001408949,15,220.0,0.14529764001408949
86.0,17,291.0,9.09375,6.209500680166219,17,291.0,0.24340465975647566,0.15190207819654808,17,291.0,0.15190207819654808
105.0,19,455.0,13.787878787878787,5.304257882336623,19,455.0,0.29676143808962574,0.19152870729129975,19,455.0,0.19152870729129975
121.0,17,312.0,9.176470588235293,6.118830029338184,17,349.0,0.2145268004891121,0.15850651637900673,17,349.0,0.15850651637900673
137.0,18,288.0,9.290322580645162,4.923271464736663,18,308.0,0.11810185255859239,0.15190207819654808,18,308.0,0.15190207819654808
156.0,19,383.0,11.606060606060606,4.171230258649885,19,403.0,0.15549964416159326,0.17171539274392394,19,403.0,0.17171539274392394
175.0,21,530.0,14.324324324324325,5.094027396334808,21,530.0,0.24984139791934093,0.19813314547375838,21,530.0,0.19813314547375838
194.0,20,428.0,11.263157894736842,5.900834696973417,20,428.0,0.3066498479586491,0.19813314547375835,20,428.0,0.19813314547375835
210.0,19,365.0,10.13888888888889,5.438114002822706,19,386.0,0.2501483229195309,0.19152870729129975,19,386.0,0.19152870729129975
229.0,18,427.0,11.54054054054054,5.737268340270993,18,437.0,0.2472380740167939,0.18492426910884113,18,437.0,0.18492426910884113
248.0,16,418.0,11.297297297297296,6.77818566827551,16,432.0,0.3784186294216442,0.18492426910884116,16,432.0,0.18492426910884116
264.0,17,384.0,10.105263157894736,6.781431926564424,17,409.0,0.3621751743200269,0.19152870729129975,17,409.0,0.19152870729129975
280.0,19,339.0,9.162162162162161,5.914294573254299,19,380.0,0.2729165200373544,0.18492426910884116,19,380.0,0.18492426910884116
299.0,20,432.0,11.675675675675675,5.116591978617298,20,455.0,0.21026099717412494,0.18492426910884113,20,455.0,0.18492426910884113
318.0,20,486.0,13.5,5.320526662735592,20,510.0,0.21613702492725123,0.17831983092638254,20,510.0,0.17831983092638254
334.0,19,399.0,10.783783783783784,5.379124471381657,19,444.0,0.19043738894076281,0.18492426910884116,19,444.0,0.18492426910884116
350.0,18,367.0,9.91891891891892,5.329571716468431,18,409.0,0.27685553096924403,0.19813314547375835,18,409.0,0.19813314547375835
369.0,18,445.0,11.710526315789474,6.36368983194322,18,476.0,0.3224920365645264,0.19813314547375838,18,476.0,0.19813314547375838
388.0,18,466.0,12.263157894736842,5.875577617685315,18,497.0,0.3199890271953068,0.204737583656217,18,497.0,0.204737583656217
400.0,19,334.0,9.277777777777779,5.0862964850277095,19,452.0,0.19695982183686248,0.18492426910884116,19,452.0,0.18492426910884116
416.0,20,351.0,9.236842105263158,5.096687976590125,20,433.0,0.24182202088261975,0.20473758365621697,20,433.0,0.20473758365621697
435.0,22,473.0,11.825,5.205140604305884,22,540.0,0.20684482846466973,0.19813314547375835,22,540.0,0.19813314547375835
