step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,t_average_density,agents_total_stopped,agents_total_accumulated_waiting_time,agents_average_density
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0
16.0,4,9.0,0.75,3.694916339863708,4,9.0,0.05258652632857614,0.05943994364212751,4,9.0,0.05943994364212751
34.0,8,118.0,5.9,4.48345199433024,8,118.0,0.13843223286363862,0.09906657273687919,8,118.0,0.09906657273687919
50.0,11,200.0,7.407407407407407,6.562421990728494,11,200.0,0.3170181984796949,0.13869320183163086,11,200.0,0.13869320183163086
66.0,14,212.0,7.066666666666666,6.257310896045467,14,212.0,0.24708327185664947,0.14529764001408949,14,212.0,0.14529764001408949
84.0,14,253.0,8.724137931034482,5.465062171519169,14,253.0,0.17652579303784974,0.13869320183163084,14,253.0,0.13869320183163084
102.0,14,309.0,10.3,5.89353681697387,14,309.0,0.2797754664344959,0.15190207819654808,14,309.0,0.15190207819654808
118.0,13,244.0,8.714285714285714,4.988408281216743,13,244.0,0.08772012947446829,0.12548432546671365,13,244.0,0.12548432546671365
134.0,14,214.0,7.379310344827586,5.81741467845517,14,214.0,0.1620894084466564,0.1386932018316309,14,214.0,0.1386932018316309
152.0,13,253.0,8.161290322580646,6.571891811608687,13,253.0,0.2685611423152288,0.14529764001408946,13,253.0,0.14529764001408946
170.0,13,289.0,10.703703703703704,5.611372182570424,13,289.0,0.23589294046053735,0.13208876364917224,13,289.0,0.13208876364917224
186.0,12,227.0,8.107142857142858,5.689287991842791,12,231.0,0.2206181323194979,0.13869320183163086,12,231.0,0.13869320183163086
202.0,13,235.0,7.121212121212121,6.319012941095397,13,242.0,0.31122385044307527,0.1651109545614653,13,242.0,0.1651109545614653
220.0,16,273.0,9.413793103448276,5.861592880686822,16,277.0,0.22117369552150845,0.13869320183163084,16,277.0,0.13869320183163084
238.0,16,317.0,10.931034482758621,5.360056256330419,16,321.0,0.1029806501168607,0.12548432546671362,16,321.0,0.12548432546671362
254.0,12,224.0,7.724137931034483,5.551914325750936,12,224.0,0.1498726997383186,0.12548432546671365,12,224.0,0.12548432546671365
270.0,14,249.0,8.03225806451613,6.515085270719703,14,249.0,0.276076333950957,0.1519020781965481,14,249.0,0.1519020781965481
288.0,14,281.0,9.366666666666667,6.085551604246891,14,281.0,0.2413728842643499,0.14529764001408949,14,281.0,0.14529764001408949
306.0,15,324.0,10.125,6.560007273896563,15,324.0,0.25950867107773934,0.14529764001408946,15,324.0,0.14529764001408946
322.0,13,268.0,7.882352941176471,6.770327931950554,13,273.0,0.3478646960270964,0.17171539274392392,13,273.0,0.17171539274392392
338.0,16,261.0,8.7,5.095556611515807,16,263.0,0.16732217711334182,0.14529764001408946,16,263.0,0.14529764001408946
356.0,16,289.0,9.633333333333333,4.210729154907683,16,291.0,0.08436661177402799,0.14529764001408946,16,291.0,0.14529764001408946
374.0,15,341.0,11.366666666666667,3.9710718547501553,15,343.0,0.08580483211684752,0.14529764001408949,15,343.0,0.14529764001408949
391.0,11,288.0,9.0,6.376869650789372,11,288.0,0.2803488058782738,0.15190207819654808,11,288.0,0.15190207819654808
407.0,14,254.0,7.696969696969697,6.430350385604771,14,260.0,0.31320777255001836,0.15850651637900673,14,260.0,0.15850651637900673
425.0,17,284.0,8.352941176470589,5.6919312121639525,17,290.0,0.2618675502691343,0.17171539274392392,17,290.0,0.17171539274392392
443.0,17,390.0,11.818181818181818,4.978902917108568,17,396.0,0.2065879804824936,0.16511095456146532,17,396.0,0.16511095456146532
459.0,16,356.0,11.125,4.981562062442665,16,364.0,0.18866348983543865,0.1585065163790067,16,364.0,0.1585065163790067
475.0,16,289.0,8.757575757575758,5.214165061998876,16,304.0,0.16391708592563567,0.1585065163790067,16,304.0,0.1585065163790067
493.0,14,316.0,9.294117647058824,5.269839076886886,14,331.0,0.1482684586765639,0.1651109545614653,14,331.0,0.1651109545614653
511.0,16,379.0,10.82857142857143,5.006036307502529,16,394.0,0.20746509361045018,0.17831983092638254,16,394.0,0.17831983092638254
527.0,18,393.0,11.228571428571428,5.5764396905158,18,415.0,0.21086621794159413,0.17171539274392394,18,415.0,0.17171539274392394
543.0,15,321.0,8.675675675675675,5.551000651640316,15,355.0,0.23210736345976796,0.18492426910884116,15,355.0,0.18492426910884116
561.0,17,364.0,10.4,5.723299013197301,17,377.0,0.26362244117347267,0.1783198309263825,17,377.0,0.1783198309263825
579.0,17,346.0,10.484848484848484,5.504070257998683,17,359.0,0.2422003525862433,0.1585065163790067,17,359.0,0.1585065163790067
595.0,17,354.0,10.411764705882353,5.0638450171389,17,367.0,0.16663318996142618,0.1651109545614653,17,367.0,0.1651109545614653
611.0,14,286.0,8.411764705882353,6.357007422691247,14,309.0,0.31942154981051446,0.1651109545614653,14,309.0,0.1651109545614653
629.0,15,349.0,9.971428571428572,5.939673669514236,15,360.0,0.27216716222087217,0.1717153927439239,15,360.0,0.1717153927439239
647.0,14,312.0,9.454545454545455,6.2650596312195805,14,323.0,0.27955740801359014,0.1585065163790067,14,323.0,0.1585065163790067
