step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,t_average_density,agents_total_stopped,agents_total_accumulated_waiting_time,agents_average_density
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0
16.0,6,12.0,1.0,3.4578439612035736,6,12.0,0.010746024893435341,0.05943994364212751,6,12.0,0.05943994364212751
32.0,6,101.0,4.809523809523809,6.751888391236943,6,101.0,0.36459131406086187,0.1122754491017964,6,101.0,0.1122754491017964
48.0,11,203.0,7.518518518518518,6.101344172710675,11,203.0,0.2722449178224557,0.13869320183163086,11,203.0,0.13869320183163086
64.0,14,232.0,7.483870967741935,5.734737279942538,14,232.0,0.20078692507124263,0.14529764001408949,14,232.0,0.14529764001408949
83.0,17,336.0,10.181818181818182,5.701494086728536,17,336.0,0.2244219363357964,0.1585065163790067,17,336.0,0.1585065163790067
102.0,16,311.0,9.424242424242424,6.407198705404175,16,311.0,0.27353443513512266,0.15190207819654808,16,311.0,0.15190207819654808
123.0,18,343.0,10.088235294117647,5.77116925638425,18,343.0,0.32011173362908174,0.18492426910884113,18,343.0,0.18492426910884113
139.0,17,319.0,9.96875,5.5007725905965,17,321.0,0.19183258512204068,0.1519020781965481,17,321.0,0.1519020781965481
158.0,17,354.0,11.0625,5.410952638733939,17,355.0,0.24207382171027944,0.16511095456146532,17,355.0,0.16511095456146532
174.0,15,278.0,7.722222222222222,6.188685029973366,15,293.0,0.31973796432822793,0.18492426910884116,15,293.0,0.18492426910884116
194.0,20,391.0,10.567567567567568,5.481987583985117,20,406.0,0.2584637180479595,0.19152870729129978,20,406.0,0.19152870729129978
210.0,19,421.0,11.378378378378379,5.925089068532757,19,435.0,0.2514026859409388,0.1783198309263825,19,435.0,0.1783198309263825
229.0,17,467.0,13.342857142857143,5.916296253028819,17,481.0,0.3009524462720418,0.17831983092638254,17,481.0,0.17831983092638254
245.0,13,238.0,6.102564102564102,7.356114657000385,13,295.0,0.4258591668685472,0.19152870729129975,13,295.0,0.19152870729129975
259.0,20,283.0,8.575757575757576,4.89475310659546,20,340.0,0.1860035876654939,0.16511095456146532,20,340.0,0.16511095456146532
275.0,20,480.0,14.545454545454545,4.238498675444517,20,480.0,0.11473002908602016,0.1651109545614653,20,480.0,0.1651109545614653
291.0,19,383.0,10.942857142857143,4.541614140378033,19,409.0,0.17284479195341873,0.1783198309263825,19,409.0,0.1783198309263825
310.0,17,340.0,9.714285714285714,5.481495301783213,17,353.0,0.2136325544760354,0.17171539274392392,17,353.0,0.17171539274392392
326.0,19,392.0,10.88888888888889,5.84866606243269,19,409.0,0.2377462031765534,0.17831983092638254,19,409.0,0.17831983092638254
342.0,18,395.0,10.675675675675675,6.409181027603584,18,422.0,0.324596322518428,0.19152870729129978,18,422.0,0.19152870729129978
358.0,19,329.0,10.28125,4.702709978502246,19,348.0,0.08123215263022941,0.15190207819654808,19,348.0,0.15190207819654808
377.0,21,339.0,10.935483870967742,4.086417337947524,21,341.0,0.05640071191662748,0.15190207819654808,21,341.0,0.15190207819654808
393.0,17,444.0,12.685714285714285,5.085740848260337,17,446.0,0.20632116034655162,0.17831983092638254,17,446.0,0.17831983092638254
407.0,15,331.0,9.194444444444445,6.100726856397848,15,352.0,0.2761523534728466,0.17831983092638254,15,352.0,0.17831983092638254
423.0,19,327.0,8.837837837837839,5.062721643453645,19,354.0,0.1724346347366919,0.18492426910884113,19,354.0,0.18492426910884113
442.0,26,654.0,18.166666666666668,3.4857071504906734,26,658.0,0.1690275790250572,0.21134202183867562,26,658.0,0.21134202183867562
458.0,18,489.0,12.868421052631579,4.753982984924575,18,574.0,0.1512360034234966,0.19152870729129975,18,574.0,0.19152870729129975
473.0,16,266.0,7.0,5.205048360650044,16,366.0,0.18489231489504526,0.1849242691088412,16,366.0,0.1849242691088412
489.0,19,313.0,8.025641025641026,6.170310268951889,19,416.0,0.30146785227541756,0.204737583656217,19,416.0,0.204737583656217
508.0,20,497.0,13.078947368421053,5.259605994436411,20,546.0,0.23946540703642882,0.20473758365621697,20,546.0,0.20473758365621697
522.0,19,513.0,12.825,5.196230354029311,19,575.0,0.2733331405767842,0.21134202183867556,19,575.0,0.21134202183867556
541.0,19,399.0,10.23076923076923,5.40313968377918,19,464.0,0.266252564993744,0.204737583656217,19,464.0,0.204737583656217
565.0,26,646.0,17.944444444444443,3.1475594316336384,26,711.0,0.11649226664173641,0.2113420218386756,26,711.0,0.2113420218386756
584.0,23,733.0,17.046511627906977,5.5396487068849325,23,798.0,0.2593079760858332,0.2245508982035928,23,798.0,0.2245508982035928
603.0,19,471.0,10.466666666666667,6.474462632497754,19,608.0,0.37947923094223146,0.2443642127509687,19,608.0,0.2443642127509687
622.0,24,453.0,10.066666666666666,5.737735113601259,24,594.0,0.2935300426248962,0.23775977456851005,24,594.0,0.23775977456851005
636.0,23,607.0,15.564102564102564,3.5953088110112548,23,668.0,0.12116097013733815,0.21134202183867562,23,668.0,0.21134202183867562
654.0,26,615.0,13.977272727272727,4.596256965196361,26,690.0,0.20441860760524203,0.23775977456851005,26,690.0,0.23775977456851005
673.0,23,491.0,11.159090909090908,5.172592156574539,23,601.0,0.2582327092473683,0.23115533638605146,23,601.0,0.23115533638605146
692.0,23,586.0,13.952380952380953,4.476384715851301,23,669.0,0.17175281669600273,0.22455089820359284,23,669.0,0.22455089820359284
711.0,22,551.0,13.119047619047619,4.770187335566899,22,620.0,0.17312281633702586,0.21794646002113421,22,620.0,0.21794646002113421
727.0,21,568.0,12.909090909090908,6.011440565263834,21,641.0,0.3453051358435486,0.23115533638605146,21,641.0,0.23115533638605146
746.0,20,471.0,10.466666666666667,6.149663065851224,20,560.0,0.329209270766192,0.23775977456851005,20,560.0,0.23775977456851005
760.0,22,365.0,9.125,4.2945433642429816,22,541.0,0.18488287120661306,0.2113420218386756,22,541.0,0.2113420218386756
776.0,25,502.0,11.674418604651162,4.5084714860040895,25,641.0,0.193999468374209,0.23115533638605143,25,641.0,0.23115533638605143
792.0,23,541.0,12.295454545454545,5.2668595950691595,23,697.0,0.23060664424449123,0.23115533638605146,23,697.0,0.23115533638605146
811.0,21,521.0,12.116279069767442,5.094554142796463,21,652.0,0.24881763716826366,0.2311553363860514,21,652.0,0.2311553363860514
827.0,20,384.0,8.347826086956522,6.103936244865689,20,585.0,0.3389444822755796,0.25096865093342724,20,585.0,0.25096865093342724
846.0,27,569.0,12.644444444444444,5.0557563644299135,27,734.0,0.2348897224632885,0.24436421275096867,27,734.0,0.24436421275096867
862.0,25,625.0,13.297872340425531,5.0149140130663294,25,807.0,0.22515973499234304,0.25096865093342724,25,807.0,0.25096865093342724
881.0,24,588.0,13.363636363636363,4.7731924432432855,24,747.0,0.18380419612848084,0.2311553363860514,24,747.0,0.2311553363860514
900.0,21,443.0,10.547619047619047,4.640887444646915,21,621.0,0.17319166771472005,0.22455089820359284,21,621.0,0.22455089820359284
916.0,30,867.0,20.162790697674417,3.5516706915922946,30,931.0,0.18826815845655656,0.25096865093342724,30,931.0,0.25096865093342724
932.0,27,861.0,18.717391304347824,4.311582568312014,27,938.0,0.12500474940558184,0.23115533638605146,27,938.0,0.23115533638605146
948.0,24,713.0,15.844444444444445,5.080336907154774,24,861.0,0.23434561312008825,0.24436421275096867,24,861.0,0.24436421275096867
969.0,20,443.0,10.30232558139535,5.599567224937194,20,624.0,0.28479320174754363,0.23115533638605143,20,624.0,0.23115533638605143
988.0,24,576.0,12.521739130434783,4.4417290948158135,24,757.0,0.16082931334743267,0.2311553363860514,24,757.0,0.2311553363860514
