step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,t_average_density,agents_total_stopped,agents_total_accumulated_waiting_time,agents_average_density
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0
14.0,3,3.0,0.25,3.609463587920248,3,3.0,0.049514169293903995,0.05943994364212751,3,3.0,0.05943994364212751
36.0,12,147.0,7.35,3.707520624036384,12,147.0,0.15650352687612243,0.1122754491017964,12,147.0,0.1122754491017964
53.0,13,239.0,8.851851851851851,5.993098069955433,13,239.0,0.3066693529038022,0.14529764001408949,13,239.0,0.14529764001408949
69.0,15,238.0,8.206896551724139,6.23438170634661,15,238.0,0.27378325663557757,0.1386932018316309,15,238.0,0.1386932018316309
86.0,15,255.0,8.225806451612904,6.105310587025529,15,255.0,0.29203810882581377,0.15190207819654808,15,255.0,0.15190207819654808
103.0,20,425.0,13.28125,4.6094565736362725,20,425.0,0.20414242161000906,0.17171539274392392,20,425.0,0.17171539274392392
119.0,18,306.0,9.5625,5.069189872883861,18,333.0,0.09267179781878315,0.14529764001408949,18,333.0,0.14529764001408949
136.0,25,599.0,18.71875,2.7593291853398547,25,612.0,0.07065006021737968,0.17831983092638254,25,612.0,0.17831983092638254
152.0,20,510.0,13.076923076923077,5.373874212555006,20,551.0,0.23914536548800627,0.19813314547375835,20,551.0,0.19813314547375835
169.0,19,361.0,9.256410256410257,5.8344712602854765,19,428.0,0.2102748600545318,0.18492426910884113,19,428.0,0.18492426910884113
185.0,19,312.0,8.0,5.391260938318251,19,417.0,0.22091273659437916,0.19813314547375838,19,417.0,0.19813314547375838
202.0,22,433.0,11.102564102564102,4.7519522914785215,22,485.0,0.19366218109306485,0.20473758365621697,22,485.0,0.20473758365621697
221.0,23,626.0,16.473684210526315,5.178907335805143,23,652.0,0.2368514387161151,0.204737583656217,23,652.0,0.204737583656217
237.0,22,477.0,12.23076923076923,4.674752822069434,22,540.0,0.1355531096918699,0.19152870729129975,22,540.0,0.19152870729129975
253.0,21,359.0,9.447368421052632,3.943672841496047,21,452.0,0.0676930612398714,0.19152870729129978,21,452.0,0.19152870729129978
269.0,25,630.0,15.365853658536585,3.8162710961808086,25,686.0,0.12817531139864968,0.22455089820359284,25,686.0,0.22455089820359284
285.0,24,623.0,14.159090909090908,5.0522424935558075,24,721.0,0.21500447963031447,0.23115533638605143,24,721.0,0.23115533638605143
304.0,25,546.0,12.409090909090908,5.221984471394354,25,668.0,0.2232807035742159,0.23115533638605143,25,668.0,0.23115533638605143
323.0,22,509.0,11.311111111111112,5.801219066987509,22,635.0,0.28092540496951934,0.23775977456851002,22,635.0,0.23775977456851002
340.0,27,659.0,16.073170731707318,3.8580244122385436,27,721.0,0.14790220300373244,0.2245508982035928,27,721.0,0.2245508982035928
359.0,29,897.0,22.425,3.253905691421481,29,935.0,0.045368884021125024,0.204737583656217,29,935.0,0.204737583656217
378.0,26,602.0,15.435897435897436,3.776565164595297,26,685.0,0.08126484143089881,0.19813314547375838,26,685.0,0.19813314547375838
394.0,23,456.0,10.857142857142858,4.491456802255559,23,614.0,0.17906283885457186,0.21794646002113421,23,614.0,0.21794646002113421
416.0,27,624.0,14.857142857142858,3.7801166712941354,27,776.0,0.17504933885246068,0.23775977456851002,27,776.0,0.23775977456851002
436.0,27,754.0,16.755555555555556,4.36158364019795,27,914.0,0.1789624111670427,0.23775977456851005,27,914.0,0.23775977456851005
453.0,23,772.0,17.155555555555555,4.517522601660797,23,927.0,0.19663170018627046,0.23775977456851005,23,927.0,0.23775977456851005
472.0,23,463.0,10.522727272727273,4.63192216002193,23,672.0,0.1846778101196456,0.23775977456851005,23,672.0,0.23775977456851005
488.0,25,712.0,15.478260869565217,5.054043916437443,25,841.0,0.2565832529873388,0.2509686509334273,25,841.0,0.2509686509334273
494.0,26,636.0,15.142857142857142,2.5034093295583935,26,831.0,0.08824785253519644,0.23115533638605146,26,831.0,0.23115533638605146
511.0,30,1005.0,22.333333333333332,3.6961420776069707,30,1116.0,0.12609274899069584,0.2509686509334273,30,1116.0,0.2509686509334273
526.0,26,1112.0,24.711111111111112,4.036639597502724,26,1198.0,0.1664581812701942,0.24436421275096865,26,1198.0,0.24436421275096865
542.0,19,432.0,8.816326530612244,5.432633425303783,19,744.0,0.23815038357043408,0.24436421275096865,19,744.0,0.24436421275096865
561.0,23,419.0,9.744186046511627,5.161731476794722,23,676.0,0.23239918236217624,0.23115533638605146,23,676.0,0.23115533638605146
580.0,27,628.0,14.952380952380953,3.999865673285932,27,814.0,0.156173576505707,0.2245508982035928,27,814.0,0.2245508982035928
596.0,33,995.0,23.69047619047619,2.7358434937880722,33,1162.0,0.0918837481758714,0.24436421275096867,33,1162.0,0.24436421275096867
