step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,t_average_density,agents_total_stopped,agents_total_accumulated_waiting_time,agents_average_density
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0
16.0,6,16.0,1.3333333333333333,3.5735480617570787,6,16.0,0.007789425395449888,0.05943994364212751,6,16.0,0.05943994364212751
34.0,9,121.0,6.722222222222222,4.325730049270426,9,121.0,0.18200176630030296,0.09906657273687919,9,121.0,0.09906657273687919
50.0,11,197.0,7.296296296296297,7.003322465042384,11,197.0,0.38808125483262806,0.13869320183163086,11,197.0,0.13869320183163086
66.0,14,204.0,6.580645161290323,6.79813340224628,14,204.0,0.31179848844337765,0.14529764001408949,14,204.0,0.14529764001408949
84.0,16,250.0,7.8125,5.964360282021385,16,250.0,0.23477634489436341,0.14529764001408949,16,250.0,0.14529764001408949
102.0,19,378.0,12.193548387096774,4.609377663953419,19,378.0,0.2002106977651868,0.16511095456146532,19,378.0,0.16511095456146532
118.0,13,250.0,8.333333333333334,4.879885693292104,13,261.0,0.09029940929617777,0.13208876364917227,13,261.0,0.13208876364917227
134.0,15,236.0,7.375,5.3562892762310454,15,247.0,0.1700167495115529,0.15190207819654808,15,247.0,0.15190207819654808
152.0,15,314.0,10.129032258064516,5.229864295337188,15,325.0,0.21248310724657382,0.1519020781965481,15,325.0,0.1519020781965481
170.0,14,405.0,13.064516129032258,5.482057541469502,14,405.0,0.2314914485492556,0.1585065163790067,14,405.0,0.1585065163790067
186.0,15,238.0,7.212121212121212,6.105969067120279,15,251.0,0.2306217400756063,0.1519020781965481,15,251.0,0.1519020781965481
202.0,14,256.0,7.529411764705882,5.850833189370338,14,262.0,0.24331894251119623,0.1651109545614653,14,262.0,0.1651109545614653
220.0,17,324.0,10.451612903225806,5.575064958295405,17,330.0,0.20827651048012383,0.14529764001408946,17,330.0,0.14529764001408946
238.0,16,319.0,11.0,5.233606025100554,16,325.0,0.1724586992368564,0.13869320183163086,16,325.0,0.13869320183163086
254.0,14,240.0,8.275862068965518,5.010997776375079,14,252.0,0.1511901862045739,0.13869320183163086,14,252.0,0.13869320183163086
270.0,15,267.0,8.612903225806452,5.769330597681813,15,267.0,0.264721398918591,0.1585065163790067,15,267.0,0.1585065163790067
288.0,16,325.0,10.15625,5.63216861146765,16,325.0,0.23649563366395035,0.15850651637900673,16,325.0,0.15850651637900673
306.0,14,327.0,10.21875,6.385919166161249,14,327.0,0.3108524611403672,0.1585065163790067,14,327.0,0.1585065163790067
322.0,14,293.0,8.371428571428572,6.52636010214537,14,296.0,0.31582370196579446,0.17171539274392392,14,296.0,0.17171539274392392
338.0,15,236.0,7.612903225806452,5.4025707107447465,15,240.0,0.16877798881442255,0.14529764001408949,15,240.0,0.14529764001408949
356.0,17,320.0,11.428571428571429,3.9917057813022567,17,323.0,0.04760119453050399,0.13869320183163086,17,323.0,0.13869320183163086
374.0,16,309.0,9.96774193548387,4.832775275300715,16,312.0,0.10990914824095833,0.14529764001408946,16,312.0,0.14529764001408946
390.0,13,310.0,9.117647058823529,6.402839141877287,13,320.0,0.30331928029989447,0.17171539274392392,13,320.0,0.17171539274392392
406.0,16,313.0,8.694444444444445,6.567996482715665,16,323.0,0.2766618336567347,0.17171539274392394,16,323.0,0.17171539274392394
424.0,19,386.0,11.352941176470589,4.982850220227867,19,396.0,0.1982711070258367,0.17171539274392392,19,396.0,0.17171539274392392
442.0,17,395.0,10.972222222222221,5.890024652561461,17,405.0,0.2822604017686602,0.17171539274392394,17,405.0,0.17171539274392394
458.0,14,284.0,8.875,5.919715760009035,14,286.0,0.2058480118074149,0.15190207819654808,14,286.0,0.15190207819654808
474.0,15,288.0,8.727272727272727,5.373210676734938,15,290.0,0.18409984657478426,0.15850651637900673,15,290.0,0.15850651637900673
492.0,14,318.0,9.9375,5.73023448093038,14,320.0,0.24967937604825943,0.1585065163790067,14,320.0,0.1585065163790067
510.0,14,356.0,10.17142857142857,6.900482521487618,14,358.0,0.3451660761501211,0.1651109545614653,14,358.0,0.1651109545614653
526.0,14,270.0,8.4375,6.661662688856394,14,285.0,0.3212947312367824,0.1585065163790067,14,285.0,0.1585065163790067
542.0,16,288.0,8.470588235294118,5.468450674422589,16,297.0,0.2496259205006678,0.17171539274392392,16,297.0,0.17171539274392392
560.0,15,300.0,9.67741935483871,6.171171051737605,15,308.0,0.2569284036843623,0.15190207819654808,15,308.0,0.15190207819654808
578.0,15,316.0,10.193548387096774,6.167043205006654,15,324.0,0.2530753080900681,0.14529764001408946,15,324.0,0.14529764001408946
594.0,13,239.0,7.966666666666667,6.009812806416748,13,252.0,0.29661446879276804,0.15190207819654808,13,252.0,0.15190207819654808
610.0,15,274.0,8.303030303030303,6.710400103410594,15,287.0,0.34412027094007785,0.1651109545614653,15,287.0,0.1651109545614653
628.0,17,366.0,10.457142857142857,6.090023590216426,17,379.0,0.2907962945647412,0.17831983092638254,17,379.0,0.17831983092638254
646.0,17,427.0,12.2,6.09432937146677,17,440.0,0.2925514010584158,0.1783198309263825,17,440.0,0.1783198309263825
662.0,16,357.0,9.64864864864865,6.375943382496208,16,388.0,0.3205525009059288,0.19152870729129973,16,388.0,0.19152870729129973
678.0,17,320.0,9.696969696969697,5.935188716499496,17,332.0,0.21384563245344013,0.1585065163790067,17,332.0,0.1585065163790067
696.0,19,353.0,11.03125,4.734008232377058,19,365.0,0.09481088588996271,0.1519020781965481,19,365.0,0.1519020781965481
714.0,18,392.0,11.529411764705882,5.321523295712427,18,404.0,0.1415735905602947,0.1585065163790067,18,404.0,0.1585065163790067
730.0,13,330.0,10.0,6.881855966227095,13,341.0,0.3580723602345838,0.17171539274392394,13,341.0,0.17171539274392394
746.0,15,311.0,8.405405405405405,7.6616787947498235,15,327.0,0.4064953300535407,0.18492426910884113,15,327.0,0.18492426910884113
764.0,16,306.0,8.27027027027027,7.100111665781267,16,323.0,0.35502462695640424,0.17831983092638257,16,323.0,0.17831983092638257
