step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,t_average_density,agents_total_stopped,agents_total_accumulated_waiting_time,agents_average_density
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0
16.0,5,10.0,0.8333333333333334,3.320040889024744,5,10.0,0.015445140227178569,0.05943994364212751,5,10.0,0.05943994364212751
34.0,7,116.0,5.8,4.558520438927461,7,116.0,0.15322734633405746,0.09906657273687919,7,116.0,0.09906657273687919
50.0,10,201.0,7.730769230769231,6.371334339683123,10,201.0,0.3315268441085895,0.13869320183163086,10,201.0,0.13869320183163086
66.0,12,197.0,6.793103448275862,6.162435728009696,12,197.0,0.26560189099012393,0.1386932018316309,12,197.0,0.1386932018316309
84.0,14,225.0,8.035714285714286,5.5028040591883665,14,225.0,0.1899439359261165,0.13208876364917224,14,225.0,0.13208876364917224
102.0,15,268.0,9.241379310344827,6.470280715513943,15,268.0,0.25284002584845683,0.13869320183163086,15,268.0,0.13869320183163086
118.0,13,244.0,9.384615384615385,4.837153230939864,13,244.0,0.05708640993096655,0.11887988728425503,13,244.0,0.11887988728425503
134.0,12,208.0,7.428571428571429,5.494994777549009,12,208.0,0.21740490996466266,0.13208876364917227,12,208.0,0.13208876364917227
152.0,11,215.0,7.678571428571429,6.315863718727159,11,215.0,0.28304231097077365,0.13869320183163086,11,215.0,0.13869320183163086
170.0,13,237.0,8.777777777777779,5.9436721489307685,13,237.0,0.24533880782630296,0.12548432546671362,13,237.0,0.12548432546671362
186.0,12,227.0,8.107142857142858,5.485971546353335,12,227.0,0.19107960725549453,0.13208876364917227,12,227.0,0.13208876364917227
202.0,12,213.0,6.870967741935484,6.4150850805959845,12,215.0,0.3085623969230275,0.1519020781965481,12,215.0,0.1519020781965481
220.0,15,236.0,8.137931034482758,6.26004449989576,15,236.0,0.23707384475163967,0.13208876364917224,15,236.0,0.13208876364917224
238.0,15,260.0,10.0,5.063639201700237,15,260.0,0.10958134869033574,0.11887988728425503,15,260.0,0.11887988728425503
254.0,12,226.0,8.071428571428571,5.096132054091699,12,226.0,0.11396187751149146,0.12548432546671365,12,226.0,0.12548432546671365
270.0,12,231.0,7.7,6.329785629848482,12,231.0,0.2597400655115005,0.14529764001408949,12,231.0,0.14529764001408949
288.0,13,267.0,9.206896551724139,6.3624406576754495,13,267.0,0.2786406564416101,0.14529764001408949,13,267.0,0.14529764001408949
306.0,13,296.0,10.206896551724139,6.865232862402318,13,296.0,0.33322944673352417,0.14529764001408946,13,296.0,0.14529764001408946
322.0,11,278.0,8.6875,7.430451631310504,11,279.0,0.38778749817508823,0.1585065163790067,11,279.0,0.1585065163790067
338.0,12,166.0,5.928571428571429,6.992796725849426,12,166.0,0.273879712648257,0.12548432546671362,12,166.0,0.12548432546671362
356.0,15,196.0,7.538461538461538,4.357079881345223,15,196.0,0.05640373989595154,0.11887988728425501,15,196.0,0.11887988728425501
374.0,15,260.0,9.62962962962963,3.7624748254356697,15,260.0,0.05883281157767589,0.13208876364917224,15,260.0,0.13208876364917224
390.0,12,302.0,9.741935483870968,6.743825778035177,12,302.0,0.3496745045202159,0.1585065163790067,12,302.0,0.1585065163790067
406.0,13,271.0,8.46875,6.838200059702686,13,275.0,0.3305249393735777,0.1585065163790067,13,275.0,0.1585065163790067
424.0,14,275.0,9.166666666666666,5.554032892509517,14,275.0,0.25595828333980714,0.15190207819654808,14,275.0,0.15190207819654808
442.0,14,296.0,9.25,6.733632952555524,14,296.0,0.3442331727229126,0.1585065163790067,14,296.0,0.1585065163790067
458.0,14,285.0,9.5,5.396221217351599,14,285.0,0.16524514571617654,0.14529764001408949,14,285.0,0.14529764001408949
474.0,13,269.0,8.966666666666667,5.529527869295501,13,269.0,0.20621183254888417,0.14529764001408949,13,269.0,0.14529764001408949
492.0,12,275.0,8.59375,5.533244130863482,12,275.0,0.22221877037007673,0.1585065163790067,12,275.0,0.1585065163790067
510.0,14,304.0,9.5,5.860633406727002,14,304.0,0.3462779227865797,0.17171539274392394,14,304.0,0.17171539274392394
526.0,16,345.0,10.454545454545455,5.741448882047156,16,345.0,0.22643522746389974,0.1585065163790067,16,345.0,0.1585065163790067
542.0,15,318.0,8.833333333333334,6.061814280726175,15,326.0,0.2558066233643446,0.17831983092638254,15,326.0,0.17831983092638254
560.0,16,310.0,9.6875,5.37952185914725,16,323.0,0.24514366843589055,0.16511095456146532,16,323.0,0.16511095456146532
565.0,13,211.0,6.393939393939394,4.3566249378990705,13,310.0,0.19160022017037118,0.17171539274392392,13,310.0,0.17171539274392392
581.0,19,422.0,12.411764705882353,5.375664279375224,19,430.0,0.2241316787297224,0.17171539274392394,19,430.0,0.17171539274392394
597.0,19,449.0,13.205882352941176,5.188996627868097,19,457.0,0.16966115539800058,0.16511095456146527,19,457.0,0.16511095456146527
613.0,15,357.0,11.15625,3.9661128399161942,15,388.0,0.0995905345609267,0.1651109545614653,15,388.0,0.1651109545614653
632.0,16,301.0,9.121212121212121,5.380503611229747,16,316.0,0.20377359464058523,0.15850651637900667,16,316.0,0.15850651637900667
650.0,17,375.0,11.029411764705882,5.1682731173315,17,390.0,0.17643045021273288,0.16511095456146532,17,390.0,0.16511095456146532
666.0,18,396.0,11.314285714285715,5.837587423762012,18,415.0,0.24674169577326768,0.17171539274392392,18,415.0,0.17171539274392392
682.0,17,345.0,9.078947368421053,6.122298826644722,17,380.0,0.32007718532625745,0.19813314547375835,17,380.0,0.19813314547375835
700.0,20,350.0,9.722222222222221,5.6323743775973885,20,374.0,0.216387510076839,0.1783198309263825,20,374.0,0.1783198309263825
705.0,15,277.0,7.2894736842105265,5.735774875113044,15,375.0,0.3466315369376644,0.2113420218386756,15,375.0,0.2113420218386756
721.0,22,503.0,14.371428571428572,4.935820193954448,22,517.0,0.214298328447123,0.18492426910884116,22,517.0,0.18492426910884116
737.0,21,475.0,14.393939393939394,3.8969053455308367,21,502.0,0.07046426634381084,0.1651109545614653,21,502.0,0.1651109545614653
753.0,16,350.0,9.722222222222221,5.309790239758217,16,378.0,0.18499332761420753,0.17831983092638254,16,378.0,0.17831983092638254
771.0,16,303.0,8.911764705882353,5.6933531021445996,16,327.0,0.28114046765128753,0.1783198309263825,16,327.0,0.1783198309263825
789.0,19,405.0,12.272727272727273,4.597542898192409,19,418.0,0.18658079636156982,0.17171539274392392,19,418.0,0.17171539274392392
805.0,18,399.0,11.4,5.599166197134311,18,422.0,0.1957848731396294,0.17171539274392392,18,422.0,0.17171539274392392
821.0,19,370.0,10.882352941176471,5.423288479840094,19,380.0,0.19801131534932684,0.17171539274392392,19,380.0,0.17171539274392392
839.0,19,316.0,10.193548387096774,4.203458673300006,19,339.0,0.094670718266588,0.15190207819654808,19,339.0,0.15190207819654808
857.0,21,388.0,12.516129032258064,3.956013466900544,21,398.0,0.07867978947631891,0.15190207819654808,21,398.0,0.15190207819654808
873.0,17,386.0,11.028571428571428,5.371755094796874,17,404.0,0.21920078505594112,0.1783198309263825,17,404.0,0.1783198309263825
889.0,17,322.0,9.2,5.563219270898816,17,344.0,0.24382576830911498,0.1783198309263825,17,344.0,0.1783198309263825
907.0,19,327.0,9.617647058823529,5.61437236184292,19,338.0,0.2266700101237583,0.1651109545614653,19,338.0,0.1651109545614653
925.0,19,416.0,11.885714285714286,4.844378125337492,19,427.0,0.15627448761564236,0.16511095456146532,19,427.0,0.16511095456146532
941.0,16,375.0,10.714285714285714,6.510432633974021,16,389.0,0.28663602963199636,0.1651109545614653,16,389.0,0.1651109545614653
957.0,19,320.0,10.0,4.803657403507891,19,337.0,0.16042498867419133,0.1585065163790067,19,337.0,0.1585065163790067
975.0,18,285.0,9.193548387096774,4.114598374620908,18,299.0,0.08718829565805737,0.15190207819654808,18,299.0,0.15190207819654808
993.0,20,391.0,11.848484848484848,4.566037762653781,20,394.0,0.11399780636682709,0.1585065163790067,20,394.0,0.1585065163790067
1009.0,17,365.0,11.06060606060606,4.907761629169335,17,375.0,0.21002506201937016,0.17171539274392392,17,375.0,0.17171539274392392
